Timestamp,WQM,SN,Status,Date(mmddyy),Time(hhmmss),Cond(S/m),Temp(C),Pres(dbar),Sal(PSU),RawDO(Hz),DO(ml/l),DO(mg/l),PercentOxSat(%),RawCHL(cts),CHL(ug/l),RawTurbidity(cts),NTU,SoundVelocity(m/s),Volts
03-14-2016 20:47:57,WQM,147,NA,031416,154755,3.17373,8.9652,3.55,29.418,10670.2,7.022,9.978,1.0481,178,3.686,84,2.737,NA,14.22
03-14-2016 20:47:58,WQM,147,NA,031416,154756,3.17395,8.9631,3.55,29.422,10671.8,7.024,9.981,1.0483,177,3.658,82,2.576,NA,14.22
03-14-2016 20:47:59,WQM,147,NA,031416,154757,3.17405,8.9636,3.55,29.422,10673.1,7.025,9.983,1.0485,193,4.118,84,2.737,NA,14.23
03-14-2016 20:48:00,WQM,147,NA,031416,154758,3.17415,8.9632,3.55,29.424,10673.9,7.026,9.984,1.0486,173,3.542,83,2.656,NA,14.22
03-14-2016 20:48:01,WQM,147,NA,031416,154759,3.17410,8.9633,3.55,29.423,10675.1,7.027,9.985,1.0488,186,3.917,90,3.220,NA,14.22
03-14-2016 20:48:02,WQM,147,NA,031416,154800,3.17417,8.9626,3.55,29.424,10676.8,7.029,9.988,1.0490,201,4.349,81,2.495,NA,14.22
03-14-2016 20:48:03,WQM,147,NA,031416,154801,3.17449,8.9612,3.55,29.429,10677.5,7.030,9.989,1.0491,186,3.917,83,2.656,NA,14.18
03-14-2016 20:48:04,WQM,147,NA,031416,154802,3.17424,8.9622,3.55,29.425,10678.5,7.031,9.990,1.0493,179,3.715,84,2.737,NA,14.23
03-14-2016 20:48:05,WQM,147,NA,031416,154803,3.17401,8.9644,3.55,29.421,10678.6,7.031,9.990,1.0493,173,3.542,80,2.415,NA,14.18
05-24-2016 19:01:22,WQM,150,0,052416,150247,3.84310,16.7288,0.94,29.622,13049.4,NA,9.585,1.1880,357,9.394,122,6.617,1505.9,14.21
05-24-2016 19:01:23,WQM,150,0,052416,150248,3.84416,16.7258,0.94,29.633,13045.6,NA,9.582,1.1875,367,9.699,126,6.984,1505.9,14.28
05-24-2016 19:01:24,WQM,150,0,052416,150249,3.84284,16.7253,0.94,29.622,13050.7,NA,9.587,1.1881,360,9.486,127,7.076,1505.9,14.26
05-24-2016 19:01:25,WQM,150,0,052416,150250,3.84345,16.7251,0.94,29.627,13054.7,NA,9.591,1.1886,357,9.394,128,7.168,1505.9,14.27
05-24-2016 19:01:26,WQM,150,0,052416,150251,3.84205,16.7241,0.94,29.616,13058.2,NA,9.595,1.1890,367,9.699,125,6.892,1505.9,14.28
05-24-2016 19:01:27,WQM,150,0,052416,150252,3.84334,16.7265,0.95,29.625,13061.5,NA,9.597,1.1894,371,9.821,129,7.260,1505.9,14.28
05-24-2016 19:01:28,WQM,150,0,052416,150253,3.84384,16.7275,0.95,29.629,13061.7,NA,9.597,1.1895,364,9.608,134,7.720,1505.9,14.28
05-24-2016 19:01:29,WQM,150,0,052416,150254,3.84131,16.6919,0.95,29.634,13068.3,NA,9.610,1.1902,411,11.041,124,6.801,1505.8,14.28
05-24-2016 19:01:30,WQM,150,0,052416,150255,3.84153,16.7201,0.95,29.615,13070.7,NA,9.608,1.1905,434,11.743,118,6.249,1505.9,14.28
05-24-2016 19:01:31,WQM,150,0,052416,150256,3.84363,16.7276,0.95,29.627,13074.0,NA,9.609,1.1909,447,12.139,123,6.709,1505.9,14.29
05-24-2016 19:01:32,WQM,150,0,052416,150257,3.84302,16.7265,0.95,29.623,13074.7,NA,9.610,1.1910,430,11.621,117,6.157,1505.9,14.28
05-24-2016 19:01:33,WQM,150,0,052416,150258,3.84342,16.7229,0.95,29.629,13072.2,NA,9.608,1.1907,434,11.743,119,6.341,1505.9,14.28
05-24-2016 19:01:34,WQM,150,0,052416,150259,3.84166,16.6920,0.96,29.637,13076.2,NA,9.617,1.1912,429,11.590,118,6.249,1505.8,14.29
05-24-2016 19:01:35,WQM,150,0,052416,150300,3.84318,16.7119,0.96,29.635,13071.5,NA,9.609,1.1906,403,10.797,119,6.341,1505.9,14.27
05-24-2016 19:01:36,WQM,150,0,052416,150301,3.84178,16.7258,0.96,29.613,13066.0,NA,9.603,1.1900,394,10.523,119,6.341,1505.9,14.26
05-24-2016 19:01:37,WQM,150,0,052416,150302,3.84167,16.7242,0.96,29.613,13063.1,NA,9.600,1.1896,442,11.987,115,5.973,1505.9,14.27
05-24-2016 19:01:38,WQM,150,0,052416,150303,3.84383,16.7243,0.96,29.631,13064.1,NA,9.600,1.1898,436,11.804,118,6.249,1505.9,14.28
05-24-2016 19:01:39,WQM,150,0,052416,150304,3.84139,16.7138,0.96,29.618,13064.7,NA,9.603,1.1898,441,11.956,111,5.606,1505.8,14.28
05-24-2016 19:01:40,WQM,150,0,052416,150305,3.84196,16.7010,0.96,29.632,13067.5,NA,9.607,1.1901,444,12.048,120,6.433,1505.8,14.27
05-24-2016 19:01:41,WQM,150,0,052416,150306,3.84300,16.6989,0.97,29.643,13069.4,NA,9.609,1.1904,446,12.109,115,5.973,1505.8,14.28
